date,warehouse_code,customer_id,order_id,route_id,sequence,product_id,quantity
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-002,10
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,CONS-003,35
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,CONS-002,10
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,SVC-002,15
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-010,35
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-007,20
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-003,30
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,ACC-001,50
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,SVC-001,10
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,ACC-004,10
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-006,50
2026-06-30,CEDI-01,0227896130,2026063068916,R-20260630-36,30,TRBT-005,45
2026-06-30,CEDI-01,0719547925,2026063076438,R-20260630-36,9,CONS-001,15
2026-06-30,CEDI-01,0719547925,2026063076438,R-20260630-36,9,SVC-002,5
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,TRBT-009,10
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,ACC-004,25
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,TRBT-001,40
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,ACC-001,45
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,TRBT-004,40
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,TRBT-006,30
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,SVC-002,40
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,ACC-003,5
2026-06-30,CEDI-01,0372557258,2026063052286,R-20260630-36,24,CONS-001,5
2026-06-30,CEDI-01,0444361850,2026063086883,R-20260630-36,20,ACC-001,50
2026-06-30,CEDI-01,0444361850,2026063086883,R-20260630-36,20,TRBT-002,45
2026-06-30,CEDI-01,0444361850,2026063086883,R-20260630-36,20,TRBT-003,15
2026-06-30,CEDI-01,0444361850,2026063086883,R-20260630-36,20,SVC-002,45
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-006,40
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-002,45
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-001,15
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,ACC-004,40
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,CONS-003,30
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,SVC-001,20
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,ACC-001,25
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,SVC-002,35
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-007,45
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-010,5
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,CONS-002,10
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,ACC-002,5
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,CONS-001,15
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-004,40
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-008,10
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,TRBT-009,30
2026-06-30,CEDI-01,0418002867,2026063029928,R-20260630-36,22,ACC-003,40
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,SVC-002,15
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,CONS-002,25
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,TRBT-010,10
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,ACC-001,25
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,ACC-004,50
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,TRBT-009,15
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,TRBT-007,50
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,CONS-003,35
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,SVC-001,50
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,TRBT-003,50
2026-06-30,CEDI-01,0341928936,2026063045152,R-20260630-36,26,TRBT-004,40
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,SVC-001,35
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-002,10
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,CONS-003,10
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-001,20
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,ACC-001,20
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-009,20
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,ACC-003,40
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-003,15
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-006,35
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-005,15
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,CONS-001,20
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-004,5
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,SVC-002,30
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-008,25
2026-06-30,CEDI-01,0733438194,2026063089309,R-20260630-36,7,TRBT-007,45
2026-06-30,CEDI-01,0151251033,2026063040303,R-20260630-36,35,TRBT-003,25
2026-06-30,CEDI-01,0151251033,2026063040303,R-20260630-36,35,TRBT-001,25
2026-06-30,CEDI-01,0151251033,2026063040303,R-20260630-36,35,TRBT-002,5
